20140423 135134.594 [08996] CLI Starting up; pid 8996
20140423 135134.594 [08996] CLI Sauce Connect 4.1, build 905 bd71d37
20140423 135134.594 [08996] CLI Command line arguments: sc.exe -u TigerairQA -k ****
20140423 135135.793 [08996] CLI GET https://saucelabs.com/rest/v1/TigerairQA/tunnels?full=1 failed, response code: 401.
20140423 141849.110 [07248] KGP warning: no keepalive ack for > 5s
20140423 141857.115 [07248] KGP warning: no keepalive ack for > 5s
20140423 141858.115 [07248] KGP warning: no keepalive ack for > 5s
20140423 141859.115 [07248] KGP warning: no keepalive ack for > 5s
20140423 141900.115 [07248] KGP warning: no keepalive ack for > 5s
20140423 141901.115 [07248] KGP warning: no keepalive ack for > 5s
20140423 141902.115 [07248] KGP warning: no keepalive ack for > 5s
20140423 141903.115 [07248] KGP warning: no keepalive ack for > 5s
20140423 141904.115 [07248] KGP warning: no keepalive ack for > 5s
20140423 143136.235 [07248] KGP warning: no keepalive ack for > 5s
20140423 143137.235 [07248] KGP warning: no keepalive ack for > 5s
20140423 143138.235 [07248] KGP warning: no keepalive ack for > 5s
20140423 143139.235 [07248] KGP warning: no keepalive ack for > 5s
20140423 143140.235 [07248] KGP warning: no keepalive ack for > 5s
20140423 143141.235 [07248] KGP warning: no keepalive ack for > 5s
20140423 143143.021 [07248] PROXY 127.0.0.1:52978 <- bs.serving-sys.com:443 connection error: No error
20140423 143242.248 [07248] KGP warning: no keepalive ack for > 5s
20140423 143243.248 [07248] KGP warning: no keepalive ack for > 5s
20140423 143244.248 [07248] KGP warning: no keepalive ack for > 5s
20140423 143311.253 [07248] KGP warning: no keepalive ack for > 5s
20140423 143312.253 [07248] KGP warning: no keepalive ack for > 5s
20140423 143314.087 [07248] PROXY 127.0.0.1:53147 <- bs.serving-sys.com:443 connection error: No error
20140423 143735.297 [07248] KGP warning: no keepalive ack for > 5s
20140423 143736.298 [07248] KGP warning: no keepalive ack for > 5s
20140423 143737.298 [07248] KGP warning: no keepalive ack for > 5s
20140423 143738.298 [07248] KGP warning: no keepalive ack for > 5s
20140423 143739.716 [07248] PROXY 127.0.0.1:53409 <- bs.serving-sys.com:443 connection error: No error
20140423 143849.310 [07248] KGP warning: no keepalive ack for > 5s
20140423 143850.310 [07248] KGP warning: no keepalive ack for > 5s
20140423 143851.310 [07248] KGP warning: no keepalive ack for > 5s
20140423 143852.310 [07248] KGP warning: no keepalive ack for > 5s
20140423 143921.316 [07248] KGP warning: no keepalive ack for > 5s
20140423 143922.316 [07248] KGP warning: no keepalive ack for > 5s
20140423 143923.316 [07248] KGP warning: no keepalive ack for > 5s
20140423 143925.163 [07248] PROXY 127.0.0.1:53506 <- bs.serving-sys.com:443 connection error: No error
20140423 143925.969 [07248] PROXY 127.0.0.1:53476 <- www.travelmob.com:80 DNS error: non-recoverable failure in name resolution (11003)
20140423 144339.350 [07248] KGP warning: no keepalive ack for > 5s
20140423 144340.350 [07248] KGP warning: no keepalive ack for > 5s
